16m;900;"9 MONTANT 886 mm; 16 Traverse Sup/Inf 2000 mm; 16 Parecloses grands 666 mm; 16 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 8; 9 Bouchons; 9 Platines; 36 Vis DIN 6328 6,3X75; 144 Vis DIN 7504N 4,8X19; 36 Chevilles CH M6X70; 36 Equerres;"
18m;900;"10 MONTANT 886 mm; 18 Traverse Sup/Inf 2000 mm; 18 Parecloses grands 666 mm; 18 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 9; 10 Bouchons; 10 Platines; 40 Vis DIN 6328 6,3X75; 160 Vis DIN 7504N 4,8X19; 40 Chevilles CH M6X70; 40 Equerres;"
20m;900;"11 MONTANT 886 mm; 20 Traverse Sup/Inf 2000 mm; 20 Parecloses grands 666 mm; 20 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 10; 11 Bouchons; 11 Platines; 44 Vis DIN 6328 6,3X75; 176 Vis DIN 7504N 4,8X19; 44 Chevilles CH M6X70; 44 Equerres;"
22m;900;"12 MONTANT 886 mm; 22 Traverse Sup/Inf 2000 mm; 22 Parecloses grands 666 mm; 22 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 11; 12 Bouchons; 12 Platines; 48 Vis DIN 6328 6,3X75; 192 Vis DIN 7504N 4,8X19; 48 Chevilles CH M6X70; 48 Equerres;"
24m;900;"13 MONTANT 886 mm; 24 Traverse Sup/Inf 2000 mm; 24 Parecloses grands 666 mm; 24 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 12; 13 Bouchons; 13 Platines; 52 Vis DIN 6328 6,3X75; 208 Vis DIN 7504N 4,8X19; 52 Chevilles CH M6X70; 52 Equerres;"
26m;900;"14 MONTANT 886 mm; 26 Traverse Sup/Inf 2000 mm; 26 Parecloses grands 666 mm; 26 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 13; 14 Bouchons; 14 Platines; 56 Vis DIN 6328 6,3X75; 224 Vis DIN 7504N 4,8X19; 56 Chevilles CH M6X70; 56 Equerres;"
28m;900;"15 MONTANT 886 mm; 28 Traverse Sup/Inf 2000 mm; 28 Parecloses grands 666 mm; 28 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 14; 15 Bouchons; 15 Platines; 60 Vis DIN 6328 6,3X75; 240 Vis DIN 7504N 4,8X19; 60 Chevilles CH M6X70; 60 Equerres;"
30m;900;"16 MONTANT 886 mm; 30 Traverse Sup/Inf 2000 mm; 30 Parecloses grands 666 mm; 30 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 15; 16 Bouchons; 16 Platines; 64 Vis DIN 6328 6,3X75; 256 Vis DIN 7504N 4,8X19; 64 Chevilles CH M6X70; 64 Equerres;"
32m;900;"17 MONTANT 886 mm; 32 Traverse Sup/Inf 2000 mm; 32 Parecloses grands 666 mm; 32 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 16; 17 Bouchons; 17 Platines; 68 Vis DIN 6328 6,3X75; 272 Vis DIN 7504N 4,8X19; 68 Chevilles CH M6X70; 68 Equerres;"
34m;900;"18 MONTANT 886 mm; 34 Traverse Sup/Inf 2000 mm; 34 Parecloses grands 666 mm; 34 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 17; 18 Bouchons; 18 Platines; 72 Vis DIN 6328 6,3X75; 288 Vis DIN 7504N 4,8X19; 72 Chevilles CH M6X70; 72 Equerres;"
